AirportId,Iata,Latitude,Longitude,Timezone
12351,INW,35.02194444,-110.7225,America/Phoenix
12358,IOW,41.63972222,-91.54777778,America/Chicago
12363,IPL,32.83416667,-115.57888889,America/Los_Angeles
12365,IPT,41.24166667,-76.92194444,America/New_York
12370,IRC,65.82805556,-144.07611111,America/Anchorage
12375,IRK,40.095,-92.54583333,America/Chicago
12378,IRS,41.8,-85.41666667,America/Detroit
12379,IRV,30.45527778,-88.21111111,America/Chicago
12387,ISL,63.5,-145.03333333,America/Anchorage
12388,ISM,28.28972222,-81.43694444,America/New_York
12389,ISN,48.17805556,-103.64222222,America/Chicago
12390,ISO,35.33138889,-77.60888889,America/New_York
12391,ISP,40.79611111,-73.10055556,America/New_York
12392,ISQ,45.97472222,-86.17194444,America/Detroit
12394,ISS,43.96138889,-69.7125,America/New_York
12396,ISW,44.36027778,-89.83916667,America/Chicago
12397,ITH,42.49138889,-76.45861111,America/New_York
12402,ITO,19.72138889,-155.05444444,Pacific/Honolulu
12412,IWD,46.5275,-90.13138889,America/Menominee
12415,IWS,29.81805556,-95.6725,America/Chicago
12436,IYK,35.65944444,-117.82944444,America/Los_Angeles
12441,JAC,43.60722222,-110.73777778,America/Denver
12445,JAJ,33.765,-84.41777778,America/New_York
12448,JAN,32.31111111,-90.07583333,America/Chicago
12449,JAO,33.93333333,-84.15,America/New_York
12451,JAX,30.49472222,-81.70444444,America/New_York
12452,JBC,42.33333333,-71.25,America/New_York
12453,JBK,37.86666667,-122.3,America/Los_Angeles
12454,JBP,33.98666667,-118.16055556,America/Los_Angeles
12455,JBR,35.82833333,-90.65194444,America/Chicago
12457,JCC,37.8,-122.46666667,America/Los_Angeles
12458,JCE,37.80555556,-122.275,America/Los_Angeles
12460,JCI,38.83083333,-94.89027778,America/Chicago
12462,JDA,44.40305556,-118.96777778,America/Los_Angeles
12463,JDB,32.76666667,-97.31666667,America/Chicago
12465,JDG,47.60083333,-122.33472222,America/Los_Angeles
12467,JDM,25.76666667,-80.18333333,America/New_York
12469,JDT,44.98277778,-93.26833333,America/Chicago
12470,JDX,29.76666667,-95.33333333,America/Chicago
